method,threshold,precision,recall,missRate,f2,tp,fp,fn,tn
solo,0.605,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6075,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.61,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6125,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.615,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6175,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.62,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6225,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.625,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6275000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.63,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6325000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.635,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6375000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.64,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6425,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.645,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6475,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.65,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6525,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.655,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
